admin_unit_code,sub_unit_code,site_name,plot_name,location_type,year,date,start_time,end_time,observer,visit,interval_length,id_method,distance,flyover_observed,sex,common_name,scientific_name,acceptedtsn,npstaxoncode,aou_code,pif_watchlist_status,regional_stewardship_status,temperature,humidity,sky,wind,disturbance,initial_three_min_cnt,habitat_type,taxoncode,previously_obs,month,season
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,,,Elizabeth Oswald,1,0-2.5 min,Singing,50.0,False,Undetermined,Eastern Towhee,Pipilo erythrophthalmus,179276.0,83803.0,EATO,False,True,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,,,Elizabeth Oswald,1,0-2.5 min,Calling,50.0,False,,White-breasted Nuthatch,Sitta carolinensis,178775.0,90935.0,WBNU,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,,,Elizabeth Oswald,1,2.5 - 5 min,Calling,50.0,False,,Red-bellied Woodpecker,Melanerpes carolinus,178195.0,84865.0,RBWO,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,,,Elizabeth Oswald,1,2.5 - 5 min,Singing,50.0,False,,Orchard Oriole,Icterus spurius,179064.0,93634.0,OROR,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,,,Elizabeth Oswald,1,2.5 - 5 min,Visualization,50.0,False,,Northern Mockingbird,Mimus polyglottos,178620.0,88394.0,NOMO,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,,,Elizabeth Oswald,1,5 - 7.5 min,Singing,50.0,False,,Northern Cardinal,Cardinalis cardinalis,179124.0,94228.0,NOCA,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,,,Elizabeth Oswald,1,0-2.5 min,Singing,50.0,False,,Northern Cardinal,Cardinalis cardinalis,179124.0,94228.0,NOCA,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,,,Elizabeth Oswald,1,0-2.5 min,Singing,50.0,False,,Horned Lark,Eremophila alpestris,554256.0,264079.0,HOLA,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,,,Elizabeth Oswald,1,0-2.5 min,Singing,50.0,False,,Mourning Dove,Zenaida macroura,177125.0,82737.0,MODO,False,False,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,Forest,,,5,Spring
ANTI,,ANTI 1,ANTI-0036,Forest,2018,2018-05-22,,,Elizabeth Oswald,1,5 - 7.5 min,Singing,50.0,False,Undetermined,Field Sparrow,Spizella pusilla,179443.0,84790.0,FISP,False,True,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,Forest,,,5,Spring
